;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 14/05/2025 17:17:56
;----------------------------------------------

;Address Opcode 	ASM
____SysVT:
0x0000	0xFFFC2001  	537001980
0x0004	0x52BD0000  	21181
0x0008	0x56BD0000  	22205
0x000C	0x56BD0000  	22205
0x0010	0x56BD0000  	22205
0x0014	0x56BD0000  	22205
0x0018	0x56BD0000  	22205
0x001C	0x56BD0000  	22205
0x0020	0x56BD0000  	22205
0x0024	0x56BD0000  	22205
0x0028	0x56BD0000  	22205
0x002C	0x56BD0000  	22205
0x0030	0x56BD0000  	22205
0x0034	0x56BD0000  	22205
0x0038	0x56BD0000  	22205
0x003C	0x56BD0000  	22205
0x0040	0x56BD0000  	22205
0x0044	0x56BD0000  	22205
0x0048	0x56BD0000  	22205
0x004C	0x56BD0000  	22205
0x0050	0x56BD0000  	22205
0x0054	0x56BD0000  	22205
0x0058	0x56BD0000  	22205
0x005C	0x56BD0000  	22205
0x0060	0x56BD0000  	22205
0x0064	0x56BD0000  	22205
0x0068	0x56BD0000  	22205
0x006C	0x56BD0000  	22205
0x0070	0x56BD0000  	22205
0x0074	0x56BD0000  	22205
0x0078	0x56BD0000  	22205
0x007C	0x56BD0000  	22205
0x0080	0x56BD0000  	22205
0x0084	0x56BD0000  	22205
0x0088	0x56BD0000  	22205
0x008C	0x56BD0000  	22205
0x0090	0x56BD0000  	22205
0x0094	0x56BD0000  	22205
0x0098	0x56BD0000  	22205
0x009C	0x56BD0000  	22205
0x00A0	0x56BD0000  	22205
0x00A4	0x56BD0000  	22205
0x00A8	0x56BD0000  	22205
0x00AC	0x56BD0000  	22205
0x00B0	0x56BD0000  	22205
0x00B4	0x56BD0000  	22205
0x00B8	0x56BD0000  	22205
0x00BC	0x56BD0000  	22205
0x00C0	0x56BD0000  	22205
0x00C4	0x56BD0000  	22205
0x00C8	0x56BD0000  	22205
0x00CC	0x56BD0000  	22205
0x00D0	0x56BD0000  	22205
0x00D4	0x51250000  	20773
0x00D8	0x521D0000  	21021
0x00DC	0x51A10000  	20897
0x00E0	0x56BD0000  	22205
0x00E4	0x56BD0000  	22205
0x00E8	0x56BD0000  	22205
0x00EC	0x56BD0000  	22205
0x00F0	0x56BD0000  	22205
0x00F4	0x56BD0000  	22205
0x00F8	0x56BD0000  	22205
0x00FC	0x56BD0000  	22205
0x0100	0x56BD0000  	22205
0x0104	0x56BD0000  	22205
0x0108	0x56BD0000  	22205
0x010C	0x56BD0000  	22205
0x0110	0x56410000  	22081
0x0114	0x50A90000  	20649
0x0118	0x56BD0000  	22205
0x011C	0x56BD0000  	22205
0x0120	0x56BD0000  	22205
0x0124	0x56BD0000  	22205
0x0128	0x56BD0000  	22205
0x012C	0x56BD0000  	22205
0x0130	0x56BD0000  	22205
0x0134	0x56BD0000  	22205
0x0138	0x56BD0000  	22205
0x013C	0x56BD0000  	22205
0x0140	0x56BD0000  	22205
0x0144	0x56BD0000  	22205
0x0148	0x56BD0000  	22205
0x014C	0x56BD0000  	22205
0x0150	0x56BD0000  	22205
0x0154	0x56BD0000  	22205
0x0158	0x56BD0000  	22205
0x015C	0x502D0000  	20525
0x0160	0x56BD0000  	22205
0x0164	0x56BD0000  	22205
0x0168	0x56BD0000  	22205
0x016C	0x56BD0000  	22205
0x0170	0x56BD0000  	22205
0x0174	0x56BD0000  	22205
0x0178	0x56BD0000  	22205
0x017C	0x56BD0000  	22205
0x0180	0x56BD0000  	22205
0x0184	0x56BD0000  	22205
; end of ____SysVT
_main:
;main.c, 358 :: 		void main(void)
0x52BC	0xB081    SUB	SP, SP, #4
0x52BE	0xF000F80F  BL	21216
0x52C2	0xF000F9FF  BL	22212
0x52C6	0xF001F9B7  BL	26168
0x52CA	0xF7FFFFE5  BL	21144
0x52CE	0xF001F965  BL	26012
;main.c, 360 :: 		application_init();
0x52D2	0xF7FFFE2D  BL	_application_init+0
;main.c, 362 :: 		for (;;)
L_main59:
;main.c, 364 :: 		application_task();
